listing_id,status,property_type,title,price_usd,price_period,bedrooms,bathrooms,area_sqm,furnished,community_id,district_id,governorate_id,agency,agent_name,listing_url,scraped_at_utc
HERO-PF1110,rent,Apartment,Charming Apt. |Traditional Building | Large Balcony,1800,USD / month,3,2,170,no,969,28,2,AgentHero of Lebanon,AgentHero of Lebanon,https://www.realestate.com.lb/en/rent-properties-lebanon/HERO-PF1110/apartment-for-rent-achrafieh-lebanon-HERO-PF1110,1770714743
HERO-PF1145,rent,Apartment,Front Sea View | Large Balcony | Prime Location,1600,USD / month,3,3,185,yes,969,28,2,AgentHero of Lebanon,AgentHero of Lebanon,https://www.realestate.com.lb/en/rent-properties-lebanon/HERO-PF1145/apartment-for-rent-achrafieh-lebanon-HERO-PF1145,1770714743
HERO-PF1130,rent,Apartment,New Building | New Apartment | New Furniture,2500,USD / month,3,3,200,yes,969,28,2,AgentHero of Lebanon,AgentHero of Lebanon,https://www.realestate.com.lb/en/rent-properties-lebanon/HERO-PF1130/apartment-for-rent-achrafieh-lebanon-HERO-PF1130,1770714743
HERO-PF442,rent,Apartment,Fully furnished Apt. | Close to ABC Mall |  Nice Balcony,1250,USD / month,2,4,165,yes,969,28,2,AgentHero of Lebanon,AgentHero of Lebanon,https://www.realestate.com.lb/en/rent-properties-lebanon/HERO-PF442/apartment-for-rent-achrafieh-lebanon-HERO-PF442,1770714743
HERO-PF645,rent,Apartment,Unique Apartment With Private Garden & Terrace.,1500,USD / month,2,2,180,yes,969,28,2,AgentHero of Lebanon,AgentHero of Lebanon,https://www.realestate.com.lb/en/rent-properties-lebanon/HERO-PF645/apartment-for-rent-achrafieh-lebanon-HERO-PF645,1770714743
HERO-PF666,rent,Apartment,3 BR Apartment | Front Sea View | Terrace,1500,USD / month,3,3,185,no,969,28,2,AgentHero of Lebanon,AgentHero of Lebanon,https://www.realestate.com.lb/en/rent-properties-lebanon/HERO-PF666/apartment-for-rent-achrafieh-lebanon-HERO-PF666,1770714743
HERO-PF1136,rent,Apartment,Spacious & Furnished Apt. | Huge Terrace | Prime Location,3500,USD / month,3,4,300,yes,969,28,2,AgentHero of Lebanon,AgentHero of Lebanon,https://www.realestate.com.lb/en/rent-properties-lebanon/HERO-PF1136/apartment-for-rent-achrafieh-lebanon-HERO-PF1136,1770714743
HERO-PF1149,rent,Apartment,The 5 Stars Apartment | Balcony | Sea View,4000,USD / month,2,3,250,yes,969,28,2,AgentHero of Lebanon,AgentHero of Lebanon,https://www.realestate.com.lb/en/rent-properties-lebanon/HERO-PF1149/apartment-for-rent-achrafieh-lebanon-HERO-PF1149,1770714743
HERO-PF1151,rent,Apartment,Cozy Apartment | Cozy Balcony | Calm Area,1050,USD / month,2,2,115,yes,969,28,2,AgentHero of Lebanon,AgentHero of Lebanon,https://www.realestate.com.lb/en/rent-properties-lebanon/HERO-PF1151/apartment-for-rent-achrafieh-lebanon-HERO-PF1151,1770714743
HERO-PF718,rent,Apartment,Charming Apartment | Terrace | Fully Furnished,950,USD / month,2,1,138,yes,969,28,2,AgentHero of Lebanon,AgentHero of Lebanon,https://www.realestate.com.lb/en/rent-properties-lebanon/HERO-PF718/apartment-for-rent-achrafieh-lebanon-HERO-PF718,1770714743
